cid,bdate,gen,dwh_create_date
AW00011000,10/6/1971,Male,46:40.2
AW00011001,5/10/1976,Male,46:40.2
AW00011002,2/9/1971,Male,46:40.2
AW00011003,8/14/1973,Female,46:40.2
AW00011004,8/5/1979,Female,46:40.2
AW00011005,8/1/1976,Male,46:40.2
AW00011006,12/2/1976,Female,46:40.2
AW00011007,11/6/1969,Male,46:40.2
AW00011008,7/4/1975,Female,46:40.2
AW00011009,9/29/1969,Male,46:40.2
AW00011010,8/5/1969,Female,46:40.2
AW00011011,5/3/1969,Male,46:40.2
AW00011012,1/14/1979,Female,46:40.2
AW00011013,8/3/1979,Male,46:40.2
AW00011014,11/6/1973,Female,46:40.2
AW00011015,8/26/1984,Female,46:40.2
AW00011016,10/25/1984,Male,46:40.2
AW00011017,12/24/1949,Female,46:40.2
AW00011018,10/6/1955,Male,46:40.2
AW00011019,9/4/1983,Male,46:40.2
AW00011020,3/19/1984,Male,46:40.2
AW00011021,3/2/1984,Female,46:40.2
AW00011022,4/10/1984,Female,46:40.2
AW00011023,4/9/1984,Female,46:40.2
AW00011024,3/16/1984,Female,46:40.2
AW00011025,6/22/1951,Female,46:40.2
AW00011026,10/1/1951,Female,46:40.2
AW00011027,6/5/1952,Female,46:40.2
AW00011028,10/9/1951,Female,46:40.2
AW00011029,6/19/1952,Female,46:40.2
AW00011030,2/18/1958,Female,46:40.2
AW00011031,2/18/1953,Female,46:40.2
AW00011032,12/8/1952,Female,46:40.2
AW00011033,9/19/1958,Female,46:40.2
AW00011034,12/16/1952,Female,46:40.2
AW00011035,8/23/1953,Female,46:40.2
AW00011036,6/16/1984,Female,46:40.2
AW00011037,5/27/1983,Female,46:40.2
AW00011038,9/20/1953,Female,46:40.2
AW00011039,6/16/1954,n/a,46:40.2
AW00011040,1/29/1983,n/a,46:40.2
AW00011041,4/15/1983,n/a,46:40.2
AW00011042,12/11/1982,Female,46:40.2
AW00011043,8/23/1981,Female,46:40.2
AW00011044,11/21/1954,Female,46:40.2
AW00011045,11/16/1955,Female,46:40.2
AW00011046,9/19/1955,Female,46:40.2
AW00011047,8/27/1955,Female,46:40.2
AW00011048,5/21/1956,Female,46:40.2
AW00011049,1/15/1986,Female,46:40.2
AW00011050,3/6/1957,Female,46:40.2
AW00011051,1/31/1957,Female,46:40.2
AW00011052,2/3/1957,Female,46:40.2
AW00011053,2/17/1986,Female,46:40.2
AW00011054,9/7/1957,Female,46:40.2
AW00011055,9/2/1957,Male,46:40.2
AW00011056,10/1/1958,Female,46:40.2
AW00011057,4/7/1970,Female,46:40.2
AW00011058,4/23/1965,Female,46:40.2
AW00011059,9/29/1959,Female,46:40.2
AW00011060,9/14/1959,Female,46:40.2
AW00011061,2/20/1976,Male,46:40.2
AW00011062,3/1/1981,Male,46:40.2
AW00011063,10/4/1980,Female,46:40.2
AW00011064,6/5/1981,Male,46:40.2
AW00011065,4/8/1979,Female,46:40.2
AW00011066,5/27/1979,Female,46:40.2
AW00011067,3/25/1982,Male,46:40.2
AW00011068,9/19/1966,Female,46:40.2
AW00011069,9/17/1966,Female,46:40.2
AW00011070,10/2/1960,Male,46:40.2
AW00011071,12/23/1960,Female,46:40.2
AW00011072,8/5/1960,Female,46:40.2
AW00011073,2/11/1962,Female,46:40.2
AW00011074,2/25/1962,Male,46:40.2
AW00011075,5/16/1963,Female,46:40.2
AW00011076,1/10/1963,Male,46:40.2
AW00011077,3/19/1963,Female,46:40.2
AW00011078,1/6/1985,Female,46:40.2
AW00011079,3/7/1970,Male,46:40.2
AW00011080,1/13/1965,Male,46:40.2
AW00011081,1/21/1972,Female,46:40.2
AW00011082,2/1/1972,Female,46:40.2
AW00011083,3/11/1977,Female,46:40.2
AW00011084,3/12/1963,Male,46:40.2
AW00011085,1/16/1963,Female,46:40.2
AW00011086,6/22/1963,Male,46:40.2
AW00011087,4/2/1963,Female,46:40.2
AW00011088,5/25/1963,Male,46:40.2
AW00011089,8/5/1962,Female,46:40.2
AW00011090,12/13/1968,Male,46:40.2
AW00011091,10/2/1962,Male,46:40.2
AW00011092,11/2/1972,Female,46:40.2
AW00011093,9/6/1978,Female,46:40.2
AW00011094,9/29/1967,Male,46:40.2
AW00011095,2/29/1968,Male,46:40.2
AW00011096,2/7/1968,Male,46:40.2
AW00011097,10/23/1972,Male,46:40.2
AW00011098,10/29/1966,Female,46:40.2
AW00011099,9/5/1966,Male,46:40.2
AW00011100,3/15/1966,Female,46:40.2
AW00011101,11/5/1970,Female,46:40.2
AW00011102,10/19/1970,Female,46:40.2
AW00011103,4/12/1981,Female,46:40.2
AW00011104,3/8/1975,Male,46:40.2
AW00011105,6/27/1970,Female,46:40.2
AW00011106,3/11/1970,Male,46:40.2
AW00011107,3/4/1976,Female,46:40.2
AW00011108,1/10/1969,Female,46:40.2
AW00011109,4/30/1980,Male,46:40.2
AW00011110,12/4/1967,Male,46:40.2
AW00011111,8/23/1967,Female,46:40.2
AW00011112,3/8/1968,Female,46:40.2
AW00011113,2/17/1973,Male,46:40.2
AW00011114,11/25/1967,Female,46:40.2
AW00011115,8/12/1967,Male,46:40.2
AW00011116,4/2/1979,Male,46:40.2
AW00011117,8/21/1966,Female,46:40.2
AW00011118,12/31/1962,Male,46:40.2
AW00011119,10/7/1940,Male,46:40.2
AW00011120,2/6/1942,Female,46:40.2
AW00011121,5/18/1966,Male,46:40.2
AW00011122,9/30/1965,Male,46:40.2
AW00011123,12/18/1965,Male,46:40.2
AW00011124,7/23/1968,Male,46:40.2
AW00011125,10/6/1961,Female,46:40.2
AW00011126,10/5/1954,Male,46:40.2
AW00011127,4/19/1981,Female,46:40.2
AW00011128,6/3/1981,Female,46:40.2
AW00011129,2/1/1981,Female,46:40.2
AW00011130,7/5/1985,Female,46:40.2
AW00011131,9/9/1985,Female,46:40.2
AW00011132,4/25/1986,Female,46:40.2
AW00011133,3/8/1986,Female,46:40.2
AW00011134,2/22/1957,Male,46:40.2
AW00011135,5/2/1985,Male,46:40.2
AW00011136,4/24/1984,Female,46:40.2
AW00011137,1/17/1984,Female,46:40.2
AW00011138,3/14/1984,Female,46:40.2
AW00011139,11/5/1949,Female,46:40.2
AW00011140,8/11/1982,Male,46:40.2
AW00011141,12/19/1982,Female,46:40.2
AW00011142,2/11/1983,Male,46:40.2
AW00011143,8/4/1982,Male,46:40.2
AW00011144,3/8/1985,Male,46:40.2
AW00011145,6/6/1985,Female,46:40.2
AW00011146,2/22/1945,Female,46:40.2
AW00011147,8/4/1944,Male,46:40.2
AW00011148,2/13/1947,Male,46:40.2
AW00011149,10/18/1946,Male,46:40.2
AW00011150,9/12/1946,Male,46:40.2
AW00011151,8/25/1947,Female,46:40.2
AW00011152,7/9/1981,Male,46:40.2
AW00011153,12/21/1981,Female,46:40.2
AW00011154,2/18/1982,Female,46:40.2
AW00011155,7/25/1981,Male,46:40.2
AW00011156,8/6/1981,Female,46:40.2
AW00011157,12/8/1980,Female,46:40.2
AW00011158,4/6/1981,Male,46:40.2
AW00011159,3/16/1981,Female,46:40.2
AW00011160,7/8/1979,Male,46:40.2
AW00011161,10/20/1979,Female,46:40.2
AW00011162,9/2/1979,Male,46:40.2
AW00011163,6/18/1980,Male,46:40.2
AW00011164,11/2/1979,Male,46:40.2
AW00011165,1/15/1979,Female,46:40.2
AW00011166,10/22/1977,Female,46:40.2
AW00011167,1/29/1978,Female,46:40.2
AW00011168,11/12/1973,Male,46:40.2
AW00011169,12/20/1973,Male,46:40.2
AW00011170,8/4/1973,Female,46:40.2
AW00011171,10/5/1978,Male,46:40.2
AW00011172,5/20/1973,Female,46:40.2
AW00011173,2/28/1973,Female,46:40.2
AW00011174,1/9/1973,Male,46:40.2
AW00011175,9/1/1968,Male,46:40.2
AW00011176,1/21/1979,Male,46:40.2
AW00011177,1/1/1948,Male,46:40.2
AW00011178,8/20/1954,Male,46:40.2
AW00011179,12/8/1959,Female,46:40.2
AW00011180,7/1/1948,Female,46:40.2
AW00011181,2/1/1960,Male,46:40.2
AW00011182,2/22/1950,Female,46:40.2
AW00011183,1/12/1950,Female,46:40.2
AW00011184,11/13/1955,Female,46:40.2
AW00011185,4/7/1950,Female,46:40.2
AW00011186,11/18/1949,Female,46:40.2
AW00011187,8/21/1949,Female,46:40.2
AW00011188,3/6/1950,Female,46:40.2
AW00011189,1/12/1950,Male,46:40.2
AW00011190,12/20/1949,Male,46:40.2
AW00011191,6/17/1951,Female,46:40.2
AW00011192,3/13/1951,Male,46:40.2
AW00011193,8/13/1950,Male,46:40.2
AW00011194,12/8/1950,Female,46:40.2
AW00011195,8/10/1951,Female,46:40.2
AW00011196,12/5/1951,Male,46:40.2
AW00011197,12/16/1951,Female,46:40.2
AW00011198,5/25/1952,Female,46:40.2
AW00011199,11/2/1957,Female,46:40.2
AW00011200,5/21/1953,Male,46:40.2
AW00011201,2/14/1953,Female,46:40.2
AW00011202,8/22/1958,Female,46:40.2
AW00011203,8/18/1959,Male,46:40.2
AW00011204,11/29/1953,Female,46:40.2
AW00011205,1/21/1954,Female,46:40.2
AW00011206,3/24/1954,Male,46:40.2
AW00011207,1/16/1954,Female,46:40.2
AW00011208,8/3/1953,Female,46:40.2
AW00011209,7/12/1953,Female,46:40.2
AW00011210,12/6/1953,Male,46:40.2
AW00011211,10/8/1960,Female,46:40.2
AW00011212,5/5/1955,Female,46:40.2
AW00011213,11/11/1954,Female,46:40.2
AW00011214,5/7/1955,Male,46:40.2
AW00011215,6/17/1961,Female,46:40.2
AW00011216,11/17/1955,Female,46:40.2
AW00011217,8/11/1955,Female,46:40.2
AW00011218,9/7/1961,Female,46:40.2
AW00011219,5/31/1956,Male,46:40.2
AW00011220,2/19/1961,Female,46:40.2
AW00011221,12/8/1955,Male,46:40.2
AW00011222,2/14/1956,Female,46:40.2
AW00011223,3/15/1957,Female,46:40.2
AW00011224,3/5/1957,Female,46:40.2
AW00011225,2/12/1962,Female,46:40.2
AW00011226,9/23/1962,Female,46:40.2
AW00011227,8/8/1962,Male,46:40.2
AW00011228,10/16/1956,Female,46:40.2
AW00011229,6/1/1957,Male,46:40.2
AW00011230,9/30/1956,Female,46:40.2
AW00011231,11/11/1963,Male,46:40.2
AW00011232,3/27/1958,Female,46:40.2
AW00011233,9/6/1963,Male,46:40.2
AW00011234,5/19/1958,Female,46:40.2
AW00011235,8/7/1957,Male,46:40.2
AW00011236,9/2/1957,Male,46:40.2
AW00011237,3/22/1964,Male,46:40.2
AW00011238,2/7/1964,Female,46:40.2
AW00011239,10/2/1969,Female,46:40.2
AW00011240,6/9/1964,Female,46:40.2
AW00011241,4/6/1974,Female,46:40.2
AW00011242,5/11/1963,Male,46:40.2
AW00011243,4/8/1963,Female,46:40.2
AW00011244,11/22/1968,Female,46:40.2
AW00011245,4/26/1962,Male,46:40.2
AW00011246,4/8/1962,Female,46:40.2
AW00011247,12/4/1961,Female,46:40.2
AW00011248,3/22/1966,Male,46:40.2
AW00011249,7/9/1966,Female,46:40.2
AW00011250,3/8/1966,Female,46:40.2
AW00011251,1/1/1938,Male,46:40.2
AW00011252,12/5/1937,Male,46:40.2
AW00011253,8/24/1949,Male,46:40.2
AW00011254,8/31/1938,Male,46:40.2
AW00011255,10/2/1938,Male,46:40.2
AW00011256,3/20/1939,Female,46:40.2
AW00011257,NULL,Female,46:40.2
AW00011258,12/26/1938,Male,46:40.2
AW00011259,9/24/1970,Female,46:40.2
AW00011260,4/8/1976,Female,46:40.2
AW00011261,10/22/1970,Female,46:40.2
AW00011262,5/1/1975,Female,46:40.2
AW00011263,3/11/1970,Female,46:40.2
AW00011264,12/15/1969,Male,46:40.2
AW00011265,1/10/1970,Female,46:40.2
AW00011266,11/2/1969,Female,46:40.2
AW00011267,9/29/1975,Male,46:40.2
AW00011268,10/31/1969,Female,46:40.2
AW00011269,10/10/1975,Male,46:40.2
AW00011270,5/1/1975,Male,46:40.2
AW00011271,12/3/1969,Female,46:40.2
AW00011272,5/10/1962,Female,46:40.2
AW00011273,3/31/1962,Male,46:40.2
AW00011274,10/10/1939,Male,46:40.2
AW00011275,7/18/1939,Female,46:40.2
AW00011276,9/15/1974,Female,46:40.2
AW00011277,12/7/1968,Male,46:40.2
AW00011278,2/16/1969,Male,46:40.2
AW00011279,9/8/1974,Female,46:40.2
AW00011280,2/17/1969,Male,46:40.2
AW00011281,10/6/1974,Female,46:40.2
AW00011282,7/16/1967,Male,46:40.2
AW00011283,4/24/1968,Male,46:40.2
AW00011284,9/24/1967,Female,46:40.2
AW00011285,3/15/1973,Male,46:40.2
AW00011286,8/31/1967,Male,46:40.2
AW00011287,7/16/1966,Male,46:40.2
AW00011288,3/12/1978,Female,46:40.2
AW00011289,3/3/1972,Female,46:40.2
AW00011290,8/14/1972,Female,46:40.2
AW00011291,5/1/1972,Female,46:40.2
AW00011292,5/5/1967,Male,46:40.2
AW00011293,11/23/1960,Male,46:40.2
AW00011294,3/2/1961,Male,46:40.2
AW00011295,11/13/1959,Female,46:40.2
AW00011296,4/5/1941,Female,46:40.2
AW00011297,8/1/1940,Male,46:40.2
AW00011298,8/30/1940,Male,46:40.2
AW00011299,9/29/1941,Male,46:40.2
AW00011300,8/31/1965,Male,46:40.2
AW00011301,12/7/1965,Male,46:40.2
AW00011302,12/9/1971,Male,46:40.2
AW00011303,4/10/1966,Female,46:40.2
AW00011304,3/14/1971,Female,46:40.2
AW00011305,12/17/1965,Male,46:40.2
AW00011306,12/20/1965,Male,46:40.2
AW00011307,10/31/1965,Male,46:40.2
AW00011308,9/2/1959,Male,46:40.2
AW00011309,12/10/1959,Female,46:40.2
AW00011310,7/5/1964,Female,46:40.2
AW00011311,2/21/1959,Female,46:40.2
AW00011312,10/1/1958,Female,46:40.2
AW00011313,8/27/1958,Male,46:40.2
AW00011314,6/16/1970,Female,46:40.2
AW00011315,3/31/1959,Female,46:40.2
AW00011316,5/17/1959,Male,46:40.2
AW00011317,9/14/1963,Female,46:40.2
AW00011318,4/25/1958,Female,46:40.2
AW00011319,4/23/1948,Female,46:40.2
AW00011320,12/24/1942,Female,46:40.2
AW00011321,1/5/1944,Male,46:40.2
AW00011322,9/12/1943,Female,46:40.2
AW00011323,12/18/1943,Male,46:40.2
AW00011324,11/10/1944,Male,46:40.2
AW00011325,12/29/1944,Male,46:40.2
AW00011326,12/23/1944,Male,46:40.2
AW00011327,9/1/1945,Male,46:40.2
AW00011328,6/30/1945,Male,46:40.2
AW00011329,1/22/1946,Male,46:40.2
AW00011330,11/10/1945,Male,46:40.2
AW00011331,1/3/1974,Female,46:40.2
AW00011332,4/2/1968,Female,46:40.2
AW00011333,1/7/1968,Female,46:40.2
AW00011334,9/19/1966,Female,46:40.2
AW00011335,12/18/1977,Female,46:40.2
AW00011336,3/8/1973,Male,46:40.2
AW00011337,3/21/1967,Male,46:40.2
AW00011338,8/6/1972,Male,46:40.2
AW00011339,1/5/1967,Male,46:40.2
AW00011340,4/3/1947,Female,46:40.2
AW00011341,2/18/1942,Male,46:40.2
AW00011342,3/7/1973,Male,46:40.2
AW00011343,3/9/1975,Male,46:40.2
AW00011344,1/21/1963,Female,46:40.2
AW00011345,9/9/1962,Female,46:40.2
AW00011346,5/18/1966,Female,46:40.2
AW00011347,6/17/1972,Male,46:40.2
AW00011348,3/21/1961,Male,46:40.2
AW00011349,8/30/1965,Female,46:40.2
AW00011350,7/14/1942,Female,46:40.2
AW00011351,4/2/1950,Female,46:40.2
AW00011352,9/4/1945,Male,46:40.2
AW00011353,12/9/1946,Female,46:40.2
AW00011354,8/23/1947,Female,46:40.2
AW00011355,6/26/1948,Male,46:40.2
AW00011356,11/24/1985,Male,46:40.2
AW00011357,9/19/1984,Male,46:40.2
AW00011358,5/10/1984,Female,46:40.2
AW00011359,3/3/1984,Male,46:40.2
AW00011360,1/30/1984,Male,46:40.2
AW00011361,10/26/1982,Female,46:40.2
AW00011362,5/11/1983,Male,46:40.2
AW00011363,4/19/1983,Male,46:40.2
AW00011364,3/22/1985,Female,46:40.2
AW00011365,12/6/1984,Female,46:40.2
AW00011366,4/23/1985,Female,46:40.2
AW00011367,8/21/1984,Male,46:40.2
AW00011368,5/24/1984,Male,46:40.2
AW00011369,2/1/1984,Female,46:40.2
AW00011370,9/29/1983,Female,46:40.2
AW00011371,11/24/1983,Female,46:40.2
AW00011372,11/12/1983,Female,46:40.2
AW00011373,9/16/1954,Female,46:40.2
AW00011374,12/25/1948,Male,46:40.2
AW00011375,11/5/1948,Male,46:40.2
AW00011376,12/7/1948,Male,46:40.2
AW00011377,8/23/1966,Male,46:40.2
AW00011378,11/19/1965,Female,46:40.2
AW00011379,5/13/1976,Male,46:40.2
AW00011380,8/29/1964,Male,46:40.2
AW00011381,8/18/1970,Female,46:40.2
AW00011382,7/15/1974,Male,46:40.2
AW00011383,2/25/1966,Female,46:40.2
AW00011384,10/13/1971,Female,46:40.2
AW00011385,8/8/1971,Male,46:40.2
AW00011386,11/2/1971,Female,46:40.2
AW00011387,11/29/1964,Female,46:40.2
AW00011388,1/20/1965,Male,46:40.2
AW00011389,4/20/1981,Male,46:40.2
AW00011390,4/17/1976,Female,46:40.2
AW00011391,6/25/1976,Female,46:40.2
AW00011392,2/3/1981,Male,46:40.2
